Ciudad,Nombre,Dirección,Latitud,Longitud
Guayaquil,TuTi | Mapasingue Oeste,"R3X8+5XR, Guayaquil",-2.1520141,-79.9326225
Guayaquil,TuTi | Federico Goding,"Federico Godín 2414, Guayaquil",-2.2117421,-79.91229059999999
Guayaquil,TuTi | Colón y Teniente,"Colon &, Guayaquil",-2.1925673,-79.90460999999999
Guayaquil,TuTi | 1ro de Mayo,"Calle 2 NO 426, Guayaquil",-2.1879907,-79.8908391
Guayaquil,TuTi | Barrio Centenario,"Q4J6+78V, Rosa Borja de Ycaza, Guayaquil",-2.2192602,-79.8892025
Guayaquil,TuTi | Urdenor 2,"Av. Rodrigo Chavez, Guayaquil",-2.1496049,-79.90554879999999
Guayaquil,TuTi | Ciudadela Bolivariana,"1A, Bolivariana",-2.1836455,-79.8952771
Guayaquil,TuTi | Sauces 4,"Teodoro Alvarado Oleas, Guayaquil, y",-2.1283432,-79.8845089
Guayaquil,TuTi | Entre Ríos,"V43P+F5J, Samborondón",-2.1462952,-79.86455289999999
Guayaquil,TuTi | Isidro Ayora,"V483+9VC, Av Isidro Ayora, Guayaquil",-2.1340711,-79.89536009999999
Guayaquil,TuTi | Portete y la 35,"Portete de Tarqui 6016, Guayaquil",-2.1979928,-79.9301795
Guayaquil,TuTi | Las Esclusas,"P4R6+HH4, Guayaquil",-2.2586003,-79.88855769999999
Guayaquil,TUTI Fragata,"Q34R+XM8, Guayaquil",-2.2426107,-79.9082827
Guayaquil,TuTi | Guangala,"Q3FV+PMF, Guayaquil",-2.2256754,-79.90581449999999
Guayaquil,TuTi | Colinas de la Alborada,13,-2.1313338,-79.910339
Guayaquil,TuTi | Junín,"Junín 407 y, Guayaquil",-2.1884852,-79.8870182
Guayaquil,Tuti El Paseo Shopping,"V3M8+RP8, Av. Camilo Ponce Enríquez, Guayaquil",-2.1154574,-79.9331405
Guayaquil,TuTi | Mucho Lote Lince,"1° CALLEJÓN 25 NO 2686, Guayaquil",-2.0857076,-79.9221159
Guayaquil,TuTi | Perimetral,"km25, Vía Perimetral, Guayaquil",-2.1284761,-79.94961169999999
Guayaquil,TuTi | Pascuales,Guayaquil,-2.068309,-79.9324311
Guayaquil,TuTi | La Aurora,W4X9+4CC,-2.0521988,-79.8815049
