Ciudad,Nombre,Dirección,Latitud,Longitud,address,horario,parqueo,cajero
Ibarra,tuti  pimampiro,"93Q5+WWR, Pimampiro",0.3898205,-77.94036349999999,,,,
Ambato,tuti  pinllo,"Q985+2VX, Calle Maugeri y Quiteño Libre, Ambato",-1.2348805,-78.6402808,,,,
Ibarra,tuti  pio xii,"Pío XII 1730, Quito",-0.0634214,-78.4286535,,,,
Guayaquil,tuti  plaza danin,"6º Pasaje 9 NO 520, Guayaquil",-2.1717346,-79.8964335,,,,
Santo Domingo,tuti  plaza hogar,"PRW3+4J6, Santo Domingo",-0.2546786,-79.1960215,,,,
Ibarra,tuti  plaza napoles,"3V44+8G6, Cayambe",0.0561185,-78.1433172,,,,
Ambato,tuti  plaza roja guaranda,"C. Azuay 701, Guaranda",-1.5909312,-79.000297,,,,
Ibarra,tuti  plaza viva,"9 de Agosto, Quito",-0.0997021,-78.4223122,,,,
Quito,tuti  pomasqui,"N 1-90, Quito",-0.0518554,-78.4564006,,,,
Guayaquil,tuti  portete,"Porrete 2817, Guayaquil",-2.2050697,-79.9043212,,,,
Guayaquil,tuti  portete y la 35,"Portete de Tarqui 6016, Guayaquil",-2.1979928,-79.9301795,,,,
Guayaquil,tuti  pradera,"Q475+99C, Av. Domingo Comín, Guayaquil",-2.2366012,-79.891576,,,,
Ambato,tuti  pucara,"89C7+C5Q, Ave Celso Rodriguez, Riobamba",-1.678907,-78.63701999999999,,,,
Quito,tuti  pueblo solo pueblo,"Oe1E 544, Quito",-0.3077011,-78.54552269999999,,,,
Quito,tuti  puente 3,"PGP7+P58, Quito",-0.2631822,-78.48694859999999,,,,
Guayaquil,tuti  puerto azul,"R26Q+QF5, *Av. Principal Y Calle Tercera, Guayaquil",-2.1881137,-79.9612459,,,,
Guayaquil,tuti  puerto inca,FF62+3FG,-2.5398145,-79.5488108,,,,
Santo Domingo,tuti  puerto quito,"4PCW+QHX, Av. 18 de Mayo, Puerto Quito",0.122002,-79.2534788,,,,
Ambato,tuti  pujili,"28V3+W8P, Pujilí",-0.955217,-78.6966726,,,,
Quevedo,tuti  quevedo,"WGX8+RX3, Quevedo",-1.0509332,-79.4827648,,,,
Quevedo,tuti  quevedo san camilo,"XGGR+MFW, Quevedo",-1.0232625,-79.4587969,,,,
Quito,tuti  quitumbe,"Av. Llira Ñan &, Quito",-0.296378,-78.5463826,,,,
Machala,tuti  rayito de luz,"P3QC+XVW, Machala",-3.2606625,-79.92724129999999,,,,
Quito,tuti  real audiencia,"Avenida Real Audiencia &, Porfirio Romero 170104, Quito",-0.1386246,-78.486184,,,,
Guayaquil,tuti  rosendo aviles,"Rosendo Avilés T., Guayaquil",-2.2073793,-79.9273345,,,,
Otavalo,tuti  rumipamba,"RG74+XQX, Quito",-0.1850625,-78.49306250000001,,,,
Ambato,tuti  salcedo,"XC56+3H2, Vicente León, Salcedo",-1.0423597,-78.5886567,,,,
Santa Elena,tuti  salinas 1 - general enrique gallo,"Q2WF+F88, Gral. Enríquez Gallo, Salinas",-2.2038324,-80.9766652,,,,
Santa Elena,tuti  salinas 2 - av. carlos espinoza,"Q3J3+Q4P, Avenida Eleodoro Solorzano, Salinas",-2.2180137,-80.947133,,,,
Babahoyo,tuti  salitre,"558P+XJQ, Vía a Samborondón, Salitre",-1.8326066,-79.8135913,,,,
Babahoyo,tuti  samanes 6,"CALLE 20C NE-HNO. ROBERTO COSTA PRATS 102, Guayaquil",-2.1107816,-79.9046595,,,,
Guayaquil,tuti  samborondon,"31 de Octubre, Samborondón",-1.9627995,-79.72555659999999,,,,
Quito,tuti  san antonio,"Av Equinoccial 1055, Quito",-0.0080543,-78.4476145,,,,
Quito,tuti  san bartolo,"PFJC+8R7, Quito",-0.2689863,-78.5279674,,,,
Quito,tuti  san blas,"QFJV+XFG, Quito",-0.217553,-78.5062888,,,,
Ambato,tuti  san felipe,Av. Simón Rodríguez,-0.9295977,-78.6293036,,,,
Ambato,tuti  san francisco,"Sebastián de Benalcázar 2064-2234, Riobamba",-1.675618,-78.6472107,,,,
Ibarra,tuti  san gabriel,"H5V9+P4P, San Gabriel",0.5942957999999999,-77.8321519,,,,
Quevedo,tuti  san jose sur,"XG6F+HVM, Quevedo",-1.0385375,-79.4753281,,,,
Quito,tuti  san juan de la armenia,"PGJP+RPR, Sebastián de Benalcazar, Quito",-0.267866,-78.4632319,,,,
Ambato,tuti  san luis riobamba,"8974+4HX Pana americana Macas, Riobamba",-1.6871368,-78.6435096,,,,
Quito,tuti  san martin de porras,"PF2G+R5V, E8G, Quito",-0.2978764,-78.5247021,,,,
Santo Domingo,tuti  san miguel de los bancos,"24F3+3W2, San Miguel de Los Bancos",0.0227204,-78.8951993,,,,
Machala,tuti  san-patricio,"P3GF+7H9, Av. Ferroviaria, Machala",-3.2743435,-79.9255237,,,,
Quito,tuti  santa ana,"Julian Estrella &, Quito",-0.2828501,-78.5614958,,,,
Quito,tuti  santa anita,"PFX6+WVQ, Av. Mariscal Sucre, Quito",-0.2502087,-78.5377994,,,,
Ambato,tuti  santa rosa,"Vía a Sta Rosa &, Santa Rosa",-1.2816544,-78.6625415,,,,
Santa Elena,tuti  santa rosa de salinas,"Q3P2+QPF, Salinas",-2.2130313,-80.9481938,,,,
Quito,tuti  santo angel de guamani,"MC9W+HM7, C. OE2H, Quito",-0.3313499,-78.55325409999999,,,,
Ambato,tuti  saquisili,"586M+J57, Saquisilí",-0.8386881,-78.6668254,,,,
Guayaquil,tuti  sauces 4,"Teodoro Alvarado Oleas, Guayaquil, y",-2.1283432,-79.8845089,,,,
Guayaquil,tuti  sauces 8,"V3FX+7RJ, Guayaquil",-2.1267875,-79.9004844,,,,
Quito,tuti  serapio japerabi,"Serapio Japerabi S13-204, Quito",-0.2568317,-78.5345524,,,,
Guayaquil,tuti  suscal,"Q3C5+R5P, Guayaquil",-2.2279054,-79.9420446,,,,
Otavalo,tuti  tanda,"RH95+94V, C. Leonidas Proaño, Quito",-0.1813115,-78.44241310000001,,,,
Tena,tuti  tena,"X5XQ+P86, C. Victor Hugo San Miguel, Tena",-1.0006766,-77.8117517,,,,
Quito,tuti  toacazo,"PFQ3+GRM, Toacazo, Quito",-0.2611713,-78.5453788,,,,
Otavalo,tuti  toctiuco,"Juan De Quiroz 6-135, Quito",-0.2093453,-78.5223213,,,,
Santo Domingo,tuti  troncal de la costa,"PQFW+4V2, Troncal de la Costa, Santo Domingo",-0.277317,-79.2029183,,,,
Tulcán,tuti  tulcan norte,"R7CR+8PG, Tulcán",0.8207576999999999,-77.7081165,,,,
Quito,tuti  tumbaco centro,"Gaspar de Carvajal S/N, Quito",-0.2150447,-78.4039641,,,,
Ambato,tuti  uniandes,"M9XW+QVP, Av Bolivariana, Ambato",-1.2998634,-78.60253999999999,,,,
Guayaquil,tuti  urbasur,"2, Los Tulipanes Guasmo Sur",-2.2434375,-79.8867428,,,,
Ibarra,tuti  urcuqui,"CR5H+6M3, Urcuqui",0.4173604,-78.1945997,,,,
Guayaquil,tuti  urdenor 2,"Av. Rodrigo Chavez, Guayaquil",-2.1496049,-79.90554879999999,,,,
