Ciudad,Nombre,Dirección,Latitud,Longitud,address,horario,parqueo,cajero
,tuti gribaldo mino,,,,Gribaldo Mino y Av. San Pedro de Taboada,08:00 - 21:00,Sí,No
,tuti guabo,,,,3 de Noviembre entre Eloy Alfaro y Bolívar,08:00 - 21:00,Sí,No
,tuti guabo 2,,,,AV. PANAMERICANA Y ADUANA,08:00 - 21:00,Sí,No
,tuti guajalo,,,,AV. PEDRO VICENTE MALDONADO Y 21 DE AGOSTO,08:00 - 21:00,Sí,No
,tuti guamote,,,,AVENIDA MACAS Y PANAMERICANA SUR,08:00 - 21:00,No,No
,tuti guangala,,,,Tulcan. entre Arturo Serrano y Jose Cuadra. Coop. Covitap Mz7 Sl3,08:00 - 21:00,No,No
,tuti guano,,,,AGUSTIN DAVALOS Y FRAY LAZARO Y ASUNCION,08:00 - 21:00,Sí,No
,tuti guasmo maternidad,,,,"Guasmo Sur, calle Dr. Fernando Lopez Lara",08:00 - 21:00,No,No
,tuti guasmo norte,,,,GUASMO NORTE. PRE COOPERATIVA CENTRO CIVICO SOLAR 13 MZ. 107,08:00 - 21:00,No,No
,tuti guayacanes,,,,Urbanizacion Guayacanes Mz 73 Solar 4,08:00 - 21:00,No,No
,tuti guayas y guabo,,,,Guayas entre Guabo y Kleber Franco,08:00 - 21:00,No,No
,tuti guayas y quil,,,,Guasmo Sur. Precooperativa Guayas y Quil 2. manzana 2376 solar 9,08:00 - 21:00,No,No
,tuti guayllabamba,,,,AV LIBERTADORES SIMON BOLIVAR,08:00 - 21:00,Sí,No
,tuti hermano miguel,,,,Av. Roberto Serrano y calle 52 Mz. 1403 Sl. 3,08:00 - 21:00,Sí,No
,tuti hospital guasmo,,,,"PRECOOPERATIVA FEBRES CORDERO, CALLE CACIQUE TOMALA",08:00 - 21:00,No,No
,tuti huachi grande,,,,PANAMERICANA NORTE E35 Y ALASKA VIA AMBATO RIOBAMBA,08:00 - 21:00,Sí,No
,tuti huancavilca norte,,,,Frente al comisariato del constructor,08:00 - 21:00,No,No
,tuti huaquillas,,,,AV. REPUBLICA Y AV SANTA ROSA,08:00 - 21:00,No,Sí
,tuti huaquillas 2 - av. republica,,,,AV. DE LA REPUBLICA ENTRE AZUAY Y BOLIVAR,08:00 - 21:00,No,No
,tuti huarcay,,,,Av. Luis Duque y Oswaldo Hurtado,08:00 - 21:00,No,No
,tuti hugo cortez,,,,Cooperativa LosTulipanes. Av. Hugo Cortez Mz. 1110 Sl. 9,08:00 - 21:00,No,No
Ambato,tuti i quijano y ordonez,Quijano y Ordoñez &,-0.9379094,-78.612808,,,,
,tuti ibarra centro,,,,SIMON BOLIVAR Y CRISTOBAL COLON ESQUINA,08:00 - 21:00,Sí,No
,tuti ilalo,,,,"AVENIDA ILALO OE 12-S4-375, ALANGASI.",08:00 - 21:00,Sí,No
,tuti inaquito,,,,ALFONSO DE PEREIRA E INAQUITO,08:00 - 21:00,No,No
,tuti indio colorado,,,,"STO. DOMINGO, AV. CHONE Y REDONDEL INDIO COLORADO.",08:00 - 21:00,No,No
,tuti infa,,,,ABOGADO JAIME ROLDOS AGUILERA Y CAMILO PONCE ENRIQUEZ,08:00 - 21:00,No,No
,tuti inmaconsa,,,,LOTIZACION INDUSTRIAL INMACONSA SOLAR 1 (1) MZ. 70 DENTRO DE GASOLINERA GASPETROLIUM,08:00 - 21:00,Sí,No
Quito,tuti isla floreana,"Av. Isla Floreana &, Quito",-0.1673693,-78.48335279999999,Av. Isla Floreana e Isla Isabela.,08:00 - 21:00,No,No
Guayaquil,tuti iv milagro,"Av. 17 de Septiembre &, Milagro",-2.1377163,-79.5967288,,,,
,tuti izamba,,,,Av. Ayapamba Oe2-98,08:00 - 21:00,Sí,No
,tuti jacinto cortez,,,,"SANTO DOMINGO, JACINTO CORTEZ Y AURELIO ESPINOZA",08:00 - 21:00,No,No
,tuti jaime roldos,,,,Via a Santa Rosa y Roca Fuerte,08:00 - 21:00,Sí,No
,tuti jama,,,,"JAMA, REDONDEL ENTRE 15 DE JUNIO Y AV. JAMA",08:00 - 21:00,Sí,No
Manta,tuti jaramijo,"29X6+R48, C. 23 de Octubre, Jaramijó",-0.9504579,-80.63964190000002,"CALLE 23 DE OCTUBRE, ENTRE 28 DE ABRIL Y AV. NAVAL. A UNA CUADRA DEL MUNICIPIO",08:00 - 21:00,No,Sí
,tuti jipijapa,,,,VICTOR MANUEL RENDON Y CALLE ELOY ALFARO (REDONDEL BY PASS). PARROQUIA SAN LORENZO DE JIPIJAPA.,08:00 - 21:00,Sí,No
Manta,tuti jipijapa centro,"MC2C+CQX, Jipijapa",-1.3488896,-80.57801540000001,,,,
Manta,tuti jocay,"27QP+Q5W, Manta",-0.9604362,-80.7144492,"LOTIZACION EL PORVENIR ACTUAL BARRIO JOCAY, CALLE J-3 DEL CANTON MANTA.",08:00 - 21:00,No,No
,tuti jose de peralta,,,,Av. Lorena Y Bahi­a de Caraquez,08:00 - 21:00,Sí,No
Guayaquil,tuti jose mascote,"José Mascote 4705, Guayaquil",-2.2169592,-79.90137709999999,Jose Mascote 4718 entre Francisco Segura y Oconnor,08:00 - 21:00,No,No
,tuti juan montalvo,,,,Av. Circunvalacion Norte y Av. Juan Montalvo y calle 12 va Norte,08:00 - 21:00,No,No
,tuti jujan,,,,Lotizacion Angel Leon SOLAR 40,08:00 - 21:00,No,No
,tuti julio andrade,,,,"CARCHI, AV PANAMERICANA NORTE",08:00 - 21:00,Sí,Sí
,tuti juncal,,,,"AVENIDA PANAMERICANA Y S/N, FRENTE A LA GASOLINERA EL JUNCAL",08:00 - 21:00,Sí,No
,tuti junin,,,,AV ELOY ALFARO ENTRE AV VELASCO IBARRA Y AV 10 DE AGOSTO,08:00 - 21:00,No,No
,tuti junin y 6 de marzo,,,,JUNIN ENTRE LORENZO DE GARAYCOA Y 6 DE MARZO. A 200 METROS DEL PARQUE SAN AGUSTIN,08:00 - 21:00,No,No
,tuti junquillal,,,,Raul Vera y Carlos Andrade,08:00 - 21:00,No,No
Babahoyo,tuti kennedy norte,"Maria Piedad Castillo de Levi, Guayaquil",-2.1541973,-79.90213949999999,KENNEDY NORTE ENTRE PIEDAD CASTILLO Y JOSE SANTIAGO CASTILLO. AL FRENTE DE CEAO CLINIC,08:00 - 21:00,Sí,No
,tuti km 24.5 via daule,,,,KM 24.5 VIA DAULE,08:00 - 21:00,Sí,Sí
Ambato,tuti l san buenaventura,Av. Miguel Iturralde 350,-0.8839572,-78.6151896,,,,
,tuti la arboleda,,,,"Francisco Matis y Monjas alto, frente a la panificadora El Pan dorado",08:00 - 21:00,No,No
,tuti la aurora,,,,Av. L. Febres Cordero. entre Luis Parreno y Av. 18 de agosto,08:00 - 21:00,No,No
,tuti la concordia,,,,AV. SIMON PLATA TORRES Y CALLE AMAZONAS.,08:00 - 21:00,No,No
,tuti la ecuatoriana,,,,AV. MARISCAL SUCRE.,08:00 - 21:00,No,No
Santo Domingo,tuti la esperanza,"PGFJ+X38, Av. Esperanza, El Carmen",-0.275095,-79.4698033,,,,
,tuti la gasca,,,,AV LA GASCA Y GASPAR DE CARVAJAL,08:00 - 21:00,Sí,No
,tuti la joya,,,,VIAL 1 SECTOR LA CANDELARIA DE LA PARROQUIA SATELITE LA AURORA LOTE #10F,08:00 - 21:00,Sí,No
,tuti la libertad 1,,,,BARRIO SIMON BOLIVAR CALLE 23 ENTRE AVENIDA 9NA Y 10MA,08:00 - 21:00,Sí,No
,tuti la libertad 2 - av eleodoro,,,,AV. ELEODORO SOLORZANO Y CALLE 31,08:00 - 21:00,No,No
,tuti la libertad 3 - calle tercera,,,,CALLE TERCERA Y CALLE 25AVA,08:00 - 21:00,No,No
,tuti la libertad 4,,,,"SECTOR ABDON CALDERON MZ 54 SOLAR 1, DIAGONAL A CIUDAD DEPORTIVA A UNA CUADRA DE RADIO AMOR",08:00 - 21:00,No,No
,tuti la libertad 5 - 28 de mayo,,,,"Barrio 28 de mayo solar 5 y 6 mz 35, frente al parque",08:00 - 21:00,No,No
,tuti la libertad 6 - la propicia,,,,SECTOR LA PROPICIA MZ. 26 SOLAR 11 Y 12,08:00 - 21:00,No,No
,tuti la linea,,,,SECTOR ALBAN BORJA CALLE HIGUERA,08:00 - 21:00,No,No
,tuti la lorena,,,,Panamericana y Nevada,08:00 - 21:00,Sí,No
,tuti la luz,,,,Av. Galo Plaza Lasso y Pablo Paredes,08:00 - 21:00,No,No
,tuti la mana,,,,"Cotopaxi. La Mana, Av. 19 de Mayo y Galo Plaza.",08:00 - 21:00,No,No
,tuti la mascota,,,,AV. MARISCAL SUCRE Y AVENIDA RODRIGO DE CHAVEZ,08:00 - 21:00,No,No
,tuti la ofelia,,,,AV. DIEGO VASQUEZ Y RAMON CHIRIBOGA,08:00 - 21:00,Sí,No
,tuti la planada,,,,OE17B ENTRE N75 Y N76,08:00 - 21:00,Sí,No
Quito,tuti la prensa,"VG65+P2V, Quito",-0.1382011,-78.4924647,AV. LA PRENSA N55-60 Y QUITO,08:00 - 21:00,Sí,No
Otavalo,tuti la pulida,"VF6V+2M4, Jorge Piedra, Quito",-0.1393849,-78.5048907,Calle Jorge Piedra y Oe9B,08:00 - 21:00,No,No
,tuti la republica,,,,Av. de la Republica y calle Azuay,08:00 - 21:00,No,No
Manta,tuti la tejedora,"DE LA LOTIZACIÓN LAS PAMPAS DEL SOL, MZ E LOTE 17",-1.1286535,-80.7973681,"MANZANA E, LOTE 17 DE LA LOTIZACION LAS PAMPAS DEL SOL EN EL SITIO COLORADO DEL CANTON MONTECRISTI.",08:00 - 21:00,Sí,No
,tuti la troncal 1 alfonso andrade,,,,Av. Alfonso Andrade #930 y Av. 25 de agosto,08:00 - 21:00,No,No
,tuti la troncal 2 25 de agosto,,,,Avenida Central Veinticinco de Agosto Interseccion calle publica,08:00 - 21:00,Sí,No
,tuti la union,,,,"E20 Y Guayas, La Unión",08:00 - 21:00,Sí,No
,tuti la vicentina,,,,"Toribio Hidalgo, Barrio La Vicentina",08:00 - 21:00,No,No
,tuti la victoria,,,,AV. PATRICIO ROMERO BARBERIS Y Oe1E,08:00 - 21:00,No,No
,tuti ladrillera,,,,FLOR DE BASTION . CALLE 27 S.O. MZ. 125 SOLAR UNO (4),08:00 - 21:00,No,No
,tuti laguna mall,,,,AV. MARIANO ACOSTA 15 - 105 Y CALLE CRISTOBAL GOMEZ JURADO,07:00 - 21:00,Sí,No
Manta,tuti las orquideas,"WGR9+M57, C. D-1, Portoviejo",-1.0583449,-80.4820608,,,,
,tuti las palmas,,,,VIA MANTA PORTOVIEJO JUNTO AL CEDI MANABI 800 METROS DE DURAGAS.,08:00 - 21:00,Sí,No
,tuti las penas,,,,Cerro Santa Ana. Calle J. Moran de Buitron y Callejon S. 1 MZ. 45,08:00 - 21:00,No,No
,tuti las vinas,,,,Cesar Teran Lopez y De Las Vinas,08:00 - 21:00,No,No
,tuti laurel,,,,Av. Colon Jurado Mendoza y via al Cementerio,08:00 - 21:00,No,No
,tuti legarda,,,,BERNARDO DE LEGARDA OE8136 Y PASAJE TEXEIRA,08:00 - 21:00,No,No
,tuti libertad 7 velasco ibarra,,,,"BARRIO JAIME NEBOT, SECTOR VELASCO IBARRA, CALLE 24 AVENIDA 38, LA LIBERTAD",08:00 - 21:00,No,No
,tuti limonal,,,,Coop. El Liomal Mz. 2384 Sol. 8,08:00 - 21:00,No,No
,tuti limoncito,,,,KM 30 VIA A LA COSTA,08:00 - 21:00,Sí,No
,tuti lizardo ruiz,,,,LIZARDO RUIZ  Y GENERAL JOSE MARIA GERRERO,08:00 - 21:00,Sí,No
,tuti llano chico,,,,"17 DE SEPTIEMBRE Y 5 DE JULIO, A 250 METROS DEL PARQUE LLANO CHICO.",08:00 - 21:00,Sí,No
Otavalo,tuti llano grande,"Gabriel García Moreno &, Quito",-0.1120553,-78.4414508,Jose Peralta y Gonzalo Zaldumbide,08:00 - 21:00,Sí,No
,tuti loma de puengasi,,,,Ricardo Izurieta y Juan Bautista Aguirre,08:00 - 21:00,No,No
,tuti lomas de sargentillo,,,,Av. El Telegrafo frente a la escuela Manuela CaNizares,08:00 - 21:00,No,No
,tuti los alamos,,,,AV. LIZARZABURU Y SAINT AMAND MONTROND,08:00 - 21:00,Sí,No
,tuti los arenales,,,,"PORTOVIEJO DEL SECTOR LOS ARENALES, PARROQUIA CRUCITA, DEL CANTON PORTOVIEJO.",08:00 - 21:00,Sí,No
Manta,tuti los bajos,"W89C+37C, Portoviejo",-1.0823073,-80.679356,"MONTECRISTI, CALLE PRINCIPAL DEL SITIO BAJO DE PECHICHE",08:00 - 21:00,No,No
,tuti los bosques,,,,"AV. 5 DE JUNIO, DEL BARRIO EL PAPAGAYO, DE LA PARROQUIA 18 DE OCTUBRE.",08:00 - 21:00,Sí,No
Ibarra,tuti los ceibos,"Av. El Retorno &, Ibarra",0.3352349,-78.1161253,AV EL RETORNO ENTRE RIO CURARAY Y RIO PASTAZA,08:00 - 21:00,No,No
Manta,tuti los esteros,"C. 119 119, Manta",-0.9494747,-80.70271629999999,CDLA. LOS ESTEROS MZ 18-A SOLAR 24. FRENTE A ESCUELA FISCAL BLANCA GILBERT DE INTRIAGO,08:00 - 21:00,No,Sí
Santa Elena,tuti los michis,"Q4F2+468, Calle 31, La Libertad",-2.2271248,-80.89942549999999,,,,
,tuti los olivos,,,,PLUTARCO LARREA Y AV. PANAMERICANA,08:00 - 21:00,Sí,No
,tuti los rios,,,,Gomez Rendon #1929 entre Esmeraldas y Los Rios. esq.,08:00 - 21:00,Sí,No
,tuti luis tufino,,,,"OE2-383, AV. LUIS G. TUFINO",08:00 - 21:00,Sí,No
,tuti luque y chile,,,,Edificio Mega. Luque entre Chile y Pedro Carbo solar 6 manzana 16,08:00 - 21:00,No,No
Quito,tuti luz y vida,"WHG8+335 Conjunto San José de Moran, Carlos Mantilla, Quito",-0.0748544,-78.43476009999999,CARLOS MANTILLA E5-94,08:00 - 21:00,No,No
,tuti machachi,,,,AVENIDA AMAZONAS Y LUIS CORDERO,08:00 - 21:00,Sí,No
,tuti machala y huancavilca,,,,Avenida Machala #2134 y calle Huancavilca.,08:00 - 21:00,Sí,No
,tuti madero vargas,,,,AV. BOLIVAR MADERO VARGAS Y CALLE CARRERA 21AVA OESTE,08:00 - 21:00,No,No
,tuti magdalena,,,,BARRIO MAGDALENA S10C HUAYNAPALCON OE5-41 PARROQUIA MAGDALENA.,08:00 - 21:00,No,No
,tuti maldonado y guaranda,,,,MALDONADO Y GUARANDA,08:00 - 21:00,No,No
,tuti malecon y loja,,,,MALECON 2000 Y LOJA,08:00 - 21:00,No,No
,tuti malvinas,,,,PRE-COOPERATIVA DIGNA POPULAR MZ. 4238 SOLAR #2,08:00 - 21:00,No,No
Santa Elena,tuti manglaralto,"5724+24J, Montañita",-1.8499733,-80.7446318,"CANTON MANGLARALTO, VIA OLON MZ 30 SOLAR 7 Y 8",08:00 - 21:00,No,No
,tuti manta - alta gracia,,,,MANTA. SECTOR ALTA GRACIA. AV. LAS ACACIAS Y CJ. 1-2,08:00 - 21:00,No,No
,tuti manta 2000,,,,CALLE 12 VIA A SAN MATEO URB. MANTA 2000 FRENTE A LA ENTRADA DEL COLEGIO JULIO PIERREGROSSE,08:00 - 21:00,No,No
,tuti manta 4 de noviembre,,,,Barrio La Paz Av. 4 de Noviembre. diagonal a Paseo Shopping,08:00 - 21:00,No,Sí
,tuti manta aurora,,,,AVENIDA LA AURORA MZ D Y CALLE RIO ESMERALDA,08:00 - 21:00,No,No
,tuti manta av. 108,,,,TARQUI AV. 108 Y CALLE 20,08:00 - 21:00,No,No
,tuti manta circunvalacion,,,,AVENIDA CIRCUNVALACION Y AVENIDA 47 EN LA GASOLINERA PRIMAX,08:00 - 21:00,No,No
Manta,tuti manta costa azul,"28PG+P76, Manta",-0.9632602999999998,-80.6743872,LOTIZACION COSTA AZUL MANZANA C. LOTE 11 Y 12,08:00 - 21:00,No,No
,tuti manta el palmar,,,,Ciudadela El Palmar frente al nuevo terminal terrestre Via Principal,08:00 - 21:00,No,No
,tuti manta flavio reyes,,,,MANTA. FLAVIO REYES ENTRE CALLE 19 Y 18. DIAGONAL A OSCUS.,08:00 - 21:00,No,No
Manta,tuti manta interbarrial,"27GQ+22Q, Manta",-0.9749824,-80.7123541,MANTA. BARRIO SAN PEDRO. SITIO MAZATO (AV. INTERBARRIAL) AV. 215 Y CALLE 309,08:00 - 21:00,No,Sí
Manta,tuti manta las cumbres,"27HG+W9F, C. 291, Manta",-0.9701636,-80.7242327,BARRIO LAS CUMBRES. CALLE 291 Y CALLE 21/11,08:00 - 21:00,No,No
,tuti manta plaza 11,,,,SECTOR MAZATO. TRAMO 2 DE LA VIA CIRCUNVALACION. DE LA PARROQUIA TARQUI DEL CANTON MANTA.,08:00 - 21:00,No,No
Manta,tuti manta santa martha,"27W9+F5F, Manta",-0.9538227,-80.7320778,CALLE 12. AVENIDA 28. GARAJE Y LOCALES BURGOS.,08:00 - 21:00,No,No
Manta,tuti manta tarqui,"27WM+HM2, Avenida 108, Manta",-0.9536048,-80.7158493,CALLE 102 AV. 108 AL FRENTE DE LA PLAZA COMERCIAL TARQUI,08:00 - 21:00,No,No
,tuti manuelita saenz,,,,AV. MANUELA SAENZ Y FRANCISCO DE GOYA,08:00 - 21:00,No,No
,tuti mapasingue 2 - calle primera,,,,"MAPASINGUE ESTE, CALLE PRIMERA",08:00 - 21:00,No,No
,tuti mapasingue 3 - oeste,,,,"LUIS ALCIVAR ELIZALDE, SOLAR 72A MZ 11",08:00 - 21:00,No,No
,tuti marcel laniado,,,,Av. Marcel Laniado y Napoleon Mera,08:00 - 21:00,No,No
Ibarra,tuti marianitas,"WH6C+59G, Capitán Giovanni Calles, Quito",-0.0895874,-78.42911959999999,CALLE CAPITAN GIOVANNI CALLES Y AV. CACHA,08:00 - 21:00,Sí,No
,tuti martha bucaram,,,,MARTHA  BUCARAM DE ROLDOS,08:00 - 21:00,Sí,No
,tuti martha de roldos,,,,Av. J.T. Marengo Mz112 Sl1. junto a Pintulac,08:00 - 21:00,No,No
,tuti media luna,,,,AV. MONSENOR LEONIDAS PROANO INTERSECCION JUAN DE LIZARAZO,08:00 - 21:00,Sí,No
,tuti mejia,,,,"CALLES VARGAS, RIOFRIO Y ZAMBRANO DE LA ZONA METROPOLITANA DEL CENTRO DE QUITO.",08:00 - 21:00,No,Sí
,tuti mena del hierro,,,,Av. Machala y Av Occidental Sector Mena del Hierro,08:00 - 21:00,No,No
Ibarra,tuti mercado carapungo,"WH42+XFM, Galo Pl. Lasso, Quito",-0.0925334999999999,-78.4487973,CALLE RIO CAYAMBE Y NEPTALY GODOY,08:00 - 21:00,No,No
,tuti mercado llano grande,,,,"CARAPUNGO, DAIGONAL AL MERCADO LLANO GRANDE",08:00 - 21:00,Sí,No
,tuti mercado mayorista,,,,AVENIDA EL CONDOR Y BATALLA DE TARQUI,08:00 - 21:00,Sí,No
,tuti mercado oriental,,,,ESPEJO Y CORDOVEZ,08:00 - 21:00,Sí,No
,tuti mercado santo domingo,,,,RAFAEL TROYA Y MANUEL DE LA CHICA NARVAEZ,08:00 - 21:00,No,No
Santa Elena,"tuti michis 2, gasolinera","Q37Q+5QF, 11 de Diciembre, La Libertad",-2.2371597,-80.9105859,,,,
,tuti milagro 1 24 de mayo,,,,Calle 24 de Mayo entre 12 de Febrero y Miguel Valverde,08:00 - 21:00,No,No
,tuti milagro 2 andres bello,,,,"Calle Andres Bello e Ibarra, Via Naranjito",08:00 - 21:00,No,No
,tuti milagro 3 juan montalvo,,,,Calle Juan Montalvo. entre Eloy Alfaro y 12 de Febrero,08:00 - 21:00,No,No
,tuti milagro 4 17 de septiembre,,,,URBANIZACION QUINTA PATRICIA LOTE 4 MANZANA A,08:00 - 21:00,No,No
,tuti milagro 5 av. armando jimenez,,,,"Av. Armando Jimenez entre C Miguel Caceres y Carlos Brito Cdla. las PiNas Mz. G-5 Sol. 10,11,12",08:00 - 21:00,No,No
,tuti milagro 6 av. aguarico,,,,"Av. Aguarico, Ciudadela Dager Mz. 12 Sol. 11",08:00 - 21:00,No,No
,tuti milagro av. amazonas,,,,Av. Amazonas y 9 de octubre,08:00 - 21:00,No,No
,tuti milagro av. mariscal sucre,,,,"Cdla. La Pradera, av. Mariscal Sucre y Alfonso QuiNonez",08:00 - 21:00,Sí,No
,tuti milagro jaime roldos,,,,Av. Jaime Roldos Aguilera Mz. E Sol. 13 y 14,08:00 - 21:00,No,No
,tuti milagro rocafuerte,,,,24 DE MAYO ENTRE 9 DE OCTUBRE Y ROCAFUERTE,07:00 - 20:00,Sí,No
,tuti miraflores,,,,MIRAFLORES AV. CENTRAL Y CALLE SEGUNDA SL 7 MZ 14,08:00 - 21:00,No,No
Quevedo,tuti mocache,28 de Mayo,-1.1868933,-79.5049037,"CANTON MOCACHE, BARRIO LINDO.",08:00 - 21:00,Sí,No
,tuti monjas,,,,Alfonso Mora y S2L,08:00 - 21:00,No,No
,tuti monsenor,,,,"SANTO DOMINGO, AV. ESMERALDAS Y AV. ABRAHAM CALAZACON.",08:00 - 21:00,Sí,No
,tuti monserrat,,,,CATALINA HERRERA Y LIZARDO GARCIA,08:00 - 21:00,No,No
,tuti montalvo antonia bastidas,,,,Av. Antonio Bastidas 03-0 y Segunda,08:00 - 21:00,No,No
,tuti monte sinai,,,,BARRIO MONTE SINAI. BARRIO 2 MANZANA 5775 SOLAR 40,08:00 - 21:00,No,No
,tuti monte sinai triangulo,,,,MONTE SINAI. COOPERATIVA TRIANGULO MANZANA 0005 SOLAR 13,08:00 - 21:00,No,No
,tuti montecristi,,,,MONTECRISTI AVENIDA METROPOLITANA,08:00 - 21:00,No,No
Manta,tuti montecristi la pradera,"2897+858, Manta",-0.9817005,-80.6870484,LOTIZACION SHIRLEY SOLAR 9 Y 11,08:00 - 21:00,No,No
Manta,tuti montecristi leonidas proano,2834+F8X,-0.9962299999999998,-80.6941578,"CIUDADELA MONSEÑOR LEONIDAS PROAÑO, AVENIDA VICTOR Velez MACÍAS Y 9 DE OCTUBRE LOTE #32 Y MZ. 16, CANTON MONTECRISTI.",08:00 - 21:00,No,No
,tuti monteserrin,,,,Av Eloy Alfaro y de las bugambillas,08:00 - 21:00,Sí,No
,tuti monumento al choclo,,,,"CIUDADELA SAN MARCOS, PARROQUIA 12 DE MARZO, DIAGONAL AL REDONDEL DEL CHOCLO VIA CRUCITA, JUNTO AL CENTRO DE EDUCACION INICIAL CEIBO KIDS.",08:00 - 21:00,Sí,No
,tuti muchacho trabajador,,,,Av. De la Prensa y David Ledesma,08:00 - 21:00,Sí,No
,tuti mucho lote 1 gomez lince,,,,Av. Isidro Ayora pasaje 33. pasando estacion Bomberos,08:00 - 21:00,Sí,No
,tuti mucho lote 2 espana,,,,Mucho lote 1. Mz. 2669 Sl1. Antiguo Teatro Candilejas,08:00 - 21:00,Sí,No
,tuti muey,,,,"PARROQUIA JOSE LUIS TAMAYO, BARRIO PARAISO, AVENIDA 11 ENTRE CALLE 13 Y 14. DIAGONAL AL MONUMENTO DEL NINO.",08:00 - 21:00,No,No
Manta,tuti municipal,"XGJM+RVP, Avenida Jose Maria Urbina, Portoviejo",-1.0179041,-80.4652938,,,,
,tuti napoleon mera,,,,Av. Napoleon Vera y a Av. 24 de abril,08:00 - 21:00,No,No
,tuti naranjal,,,,AV. PANORAMA Y ROCAFUERTE. LOTIZACION PECHICHAL. SOLAR 1A MZ. 97 SECTOR 10,08:00 - 21:00,No,No
,tuti naranjal centro,,,,Av. Olmedo y calle 27 Norte Mz 72 Sol.9,08:00 - 21:00,No,No
,tuti naranjito,,,,Calle Dolores Alzua # 7 y Calle 9 de Octubre,08:00 - 21:00,No,No
,tuti nariz del diablo,,,,Nariz del diablo y Heleodoro Ayala,08:00 - 21:00,No,No
,tuti nayon,,,,Av. Atahualpa y Huascar,08:00 - 21:00,No,No
,tuti nicolas segovia,,,,NICOLAS SEGOVIA Y CAMILO DESTRUGE,08:00 - 21:00,No,No
,tuti nobol,,,,"Av. Rio Amazonas y Gregorio Conforme, diagonal a la iglesia",08:00 - 21:00,No,No
,tuti nueva israel,,,,"STO. DOMINGO VIA CHONE EL CISNE NUEVO ISRAEL, FRENTE AL PARQUE CENTRAL.",08:00 - 21:00,No,No
Santo Domingo,tuti nuevo israel,"QM43+9C3, Nuevo Israel",-0.2441147,-79.3464466,,,,
,tuti nuevo quininde,,,,AV. NUEVO JERUSALEM Y C. 24 DE JUNIO,08:00 - 21:00,No,No
,tuti olfa bucaram,,,,Cooperativa Union de Bananeros Bloque 3 en 11 transversal 11SE,08:00 - 21:00,No,No
Portoviejo,tuti olmedo,"Y DON PANCHO, OLMEDO CALLE SAN ANDRES, ENTRE",-1.3961202,-80.21099009999999,CALLE SAN ANDRES ENTRE ULPIANO PAEZ Y DON PANCHO,08:00 - 21:00,No,No
,tuti oriente quiteno,,,,"Vilcabamba entre calle S18 y Fronteras. Referencia detras de Av. Simon bolivar sentido sur, sector loma de los perros",08:00 - 21:00,No,No
,tuti orquideas,,,,Avenida Francisco de Orellana,08:00 - 21:00,No,No
,tuti orquideas de la orellana,,,,URB. ORQUIDEAS DE ORELLANA CALLE C.24 NE Y 1ER PASAJE MZ. #72,08:00 - 21:00,Sí,No
,tuti oswaldo guayasamin,,,,Av. Oswaldo Guayasamin y 24 de mayo,08:00 - 21:00,No,No
,tuti otavalo abdon calderon,,,,CALLE ABDON CALDERON Y ATAHUALPA,08:00 - 21:00,Sí,No
,tuti otavalo centro,,,,CALLE VICENTE RAMON ROCA,08:00 - 21:00,Sí,No
,tuti pajan,,,,AV. 9 DE OCTUBRE Y CALLE 24 DE SEPTIEMBRE,08:00 - 21:00,No,No
,tuti pajaro azul,,,,Pajaro Azul. Jorge Wagner y Callejon 19. Entrando por Jardines de Esperanza,08:00 - 21:00,No,No
,tuti palenque,,,,Calle Juan Carlos Aspiazu y Teniente Hugo Ortiz,08:00 - 21:00,No,No
,tuti palestina,,,,Palestina. Calles Av. Fausto Espinoza y 16 de Junio,08:00 - 21:00,No,No
Santa Elena,tuti palmar,"Ruta del Spondylus, Palmar",-2.0232882,-80.7205238,"RUTA SPONDYLUS, VIA PRINCIPAL. COMUNA PALMAR. BARRIO CRUCE DE PALMAR.",08:00 - 21:00,No,No
,tuti palomino,,,,Av Juan Palomino y Av Jose Borja Barrezueta,08:00 - 21:00,No,No
,tuti pambachupa,,,,Humberto Albornoz y Ugarte y Saravia.,08:00 - 21:00,No,No
,tuti paquisha,,,,AV. GUSTAVO ORCES VILLAGOMEZ Y OE7L,08:00 - 21:00,No,No
,tuti parque industrial,,,,PANAMERICANA NORTE 1P DEP01 Y ENTRADA SAMANGA ALTO,08:00 - 21:00,Sí,No
,tuti parque lineal,,,,Av. Hector Chica y Carrera 7ma Oeste,08:00 - 21:00,No,No
,tuti parroquia abdon calderon,,,,ELOY ALFARO Y ERNESTO MENDOZA. PARROQUIA ABDON CALDERON. DEL CANTON PORTOVIEJO.,08:00 - 21:00,No,No
,tuti parroquia atahualpa,,,,AVENIDA 22 DE ENERO Y VALDIVIA,08:00 - 21:00,Sí,No
,tuti pasaje,,,,"9 de Octubre, entre Ave. Azuay y Bolivar",08:00 - 21:00,No,No
Machala,tuti pasaje 2,"M5CQ+WC3, Av. 9 de Mayo, Machala",-3.3277519,-79.8114291,AV. SAN MARTIN ENTRE AV. INDEPENDENCIA Y 9 DE MAYO,08:00 - 21:00,Sí,No
,tuti pascuales 1 las vegas,,,,Pascuales. Av. 38D Solar 1B. Diagonal a KFC pascuales,08:00 - 21:00,No,Sí
,tuti pascuales 2 paquisha,,,,Solar y Edificacion 1 Mz 328. ubicada en la Coop. Assad Bucaram,08:00 - 21:00,No,No
